updated,A3,A4,A5
08:00:36,7.370,0.521,6.280
08:00:31,7.370,0.521,6.315
08:00:26,7.382,0.509,6.339
08:00:22,7.382,0.533,6.292
08:00:16,7.346,0.521,6.351
08:00:11,7.334,0.533,6.244
08:00:06,7.358,0.533,6.280
08:00:01,7.382,0.545,6.292
07:59:56,7.358,0.557,6.268
07:59:52,7.358,0.557,6.173
07:59:46,7.311,0.569,6.232
07:59:41,7.358,0.581,6.280
07:59:36,7.358,0.581,6.268
07:59:31,7.358,0.592,6.185
07:59:26,7.311,0.616,6.102
07:59:21,7.322,0.628,6.031
07:59:17,7.358,0.628,6.067
07:59:11,7.358,0.616,6.102
07:59:06,7.370,0.628,6.126
07:59:01,7.334,0.604,6.161
07:58:56,7.370,0.604,6.197
07:58:51,7.358,0.592,6.268
07:58:46,7.346,0.592,6.173
07:58:41,7.346,0.592,6.067
07:58:36,7.346,0.592,6.161
07:58:31,7.370,0.604,6.173
07:58:26,7.358,0.628,6.126
07:58:21,7.370,0.652,6.055
07:58:16,7.358,0.664,5.972
07:58:11,7.358,0.652,6.031
07:58:06,7.382,0.640,6.007
07:58:01,7.370,0.687,5.960
07:57:56,7.311,0.687,5.723
07:57:52,7.394,0.675,5.984
07:57:46,7.358,0.687,5.960
07:57:41,7.358,0.675,5.995
07:57:37,7.311,0.652,5.936
07:57:31,7.311,0.664,5.960
07:57:26,7.334,0.675,6.031
07:57:21,7.346,0.675,6.007
07:57:16,7.358,0.687,5.960
07:57:11,7.311,0.687,5.711
07:57:06,7.382,0.687,5.972
07:57:01,7.382,0.687,5.972
07:56:56,7.370,0.675,5.936
07:56:51,7.334,0.675,5.841
07:56:46,7.287,0.687,5.770
07:56:42,7.370,0.723,5.841
07:56:36,7.370,0.735,5.901
07:56:31,7.358,0.723,5.806
07:56:26,7.287,0.746,5.794
07:56:21,7.346,0.770,5.735
07:56:16,7.382,0.770,5.711
07:56:11,7.370,0.806,5.640
07:56:06,7.358,0.818,5.545
07:56:01,7.358,0.841,5.308
07:55:56,7.394,0.841,5.545
07:55:51,7.370,0.877,5.450
07:55:46,7.370,0.865,5.320
07:55:42,7.322,0.889,5.225
07:55:36,7.370,0.901,5.320
07:55:31,7.382,0.924,5.332
07:55:26,7.358,0.924,5.261
07:55:21,7.346,0.936,5.190
07:55:17,7.382,0.948,5.166
07:55:11,7.346,0.960,5.154
07:55:07,7.346,0.948,5.154
07:55:01,7.358,0.960,5.119
07:54:56,7.346,0.948,4.822
07:54:51,7.370,0.960,5.142
07:54:46,7.346,0.995,5.083
07:54:41,7.358,1.007,5.036
07:54:36,7.346,1.007,4.941
07:54:31,7.370,1.031,4.965
07:54:26,7.382,1.043,4.917
07:54:21,7.370,1.043,4.917
07:54:16,7.334,1.055,4.751
07:54:11,7.322,1.055,4.337
07:54:06,7.382,1.066,4.870
07:54:02,7.382,1.055,4.799
07:53:56,7.334,1.066,4.751
07:53:51,7.358,1.055,4.846
07:53:46,7.370,1.078,4.822
07:53:41,7.382,1.066,4.799
07:53:36,7.370,1.066,4.811
07:53:31,7.346,1.066,4.574
07:53:26,7.370,1.055,4.763
07:53:21,7.370,1.066,4.882
07:53:16,7.358,1.078,4.846
07:53:11,7.346,1.043,4.894
07:53:06,7.275,1.055,4.846
07:53:01,7.358,1.066,4.882
07:52:56,7.370,1.066,4.929
07:52:51,7.370,1.055,4.929
07:52:46,7.346,1.055,4.905
07:52:41,7.346,1.043,4.882
07:52:36,7.346,1.055,4.882
07:52:31,7.370,1.066,4.894
07:52:26,7.370,1.031,5.000
07:52:22,7.358,1.007,5.059
07:52:16,7.334,0.983,5.024
07:52:11,7.346,0.983,4.929
07:52:06,7.334,0.995,4.597
07:52:01,7.370,0.995,5.048
07:51:56,7.370,1.007,4.976
07:51:51,7.358,1.019,4.976
07:51:46,7.287,1.031,4.716
07:51:41,7.370,1.055,4.905
07:51:36,7.394,1.066,4.846
07:51:32,7.370,1.090,4.692
07:51:26,7.358,1.114,4.716
07:51:21,7.358,1.126,4.657
07:51:16,7.382,1.137,4.657
07:51:11,7.358,1.149,4.609
07:51:06,7.346,1.173,4.408
07:51:01,7.299,1.173,4.514
07:50:56,7.346,1.185,4.455
07:50:52,7.358,1.185,4.479
07:50:46,7.370,1.185,4.503
07:50:41,7.346,1.161,4.360
07:50:36,7.370,1.149,4.609
07:50:32,7.346,1.102,4.645
07:50:26,7.346,1.102,4.692
07:50:21,7.382,1.102,4.657
07:50:16,7.382,1.102,4.668
07:50:11,7.358,1.102,4.692
07:50:06,7.382,1.137,4.645
07:50:01,7.358,1.149,4.562
07:49:56,7.334,1.137,4.372
07:49:51,7.382,1.149,4.562
07:49:46,7.370,1.149,4.585
07:49:41,7.346,1.149,4.574
07:49:36,7.382,1.137,4.455
07:49:31,7.299,1.161,4.147
07:49:26,7.358,1.173,4.574
07:49:21,7.382,1.185,4.538
07:49:16,7.334,1.161,4.491
07:49:11,7.382,1.173,4.218
07:49:06,7.346,1.173,4.479
07:49:01,7.382,1.173,4.467
07:48:56,7.346,1.173,4.431
07:48:51,7.311,1.149,4.348
07:48:46,7.346,1.149,4.562
07:48:41,7.358,1.149,4.597
07:48:36,7.358,1.161,4.597
07:48:31,7.346,1.149,4.396
07:48:26,7.287,1.137,4.538
07:48:21,7.370,1.161,4.526
07:48:16,7.346,1.161,4.503
07:48:11,7.346,1.185,4.467
07:48:06,7.346,1.173,4.337
07:48:01,7.346,1.173,4.526
07:47:56,7.346,1.161,4.479
07:47:51,7.358,1.185,4.503
07:47:46,7.322,1.161,4.467
07:47:41,7.299,1.185,4.100
07:47:36,7.334,1.185,4.431
07:47:31,7.322,1.185,4.396
07:47:26,7.382,1.173,4.431
07:47:21,7.311,1.185,4.420
07:47:16,7.382,1.209,4.408
07:47:11,7.334,1.209,4.337
07:47:06,7.358,1.232,4.266
07:47:01,7.382,1.220,4.301
07:46:56,7.311,1.232,4.254
07:46:51,7.346,1.220,4.230
07:46:46,7.358,1.256,4.147
07:46:41,7.346,1.244,4.194
07:46:36,7.382,1.244,4.183
07:46:31,7.382,1.220,4.230
07:46:26,7.358,1.197,4.372
07:46:21,7.370,1.209,4.372
07:46:16,7.346,1.209,4.384
07:46:12,7.370,1.209,4.384
07:46:06,7.346,1.185,4.408
07:46:01,7.370,1.173,4.479
07:45:57,7.322,1.161,4.420
07:45:51,7.346,1.161,4.550
07:45:47,7.358,1.161,4.597
07:45:41,7.358,1.149,4.550
07:45:36,7.358,1.173,4.526
07:45:31,7.311,1.161,4.550
07:45:26,7.382,1.173,4.455
07:45:22,7.370,1.173,4.420
07:45:16,7.358,1.209,4.431
07:45:11,7.346,1.197,4.348
07:45:06,7.358,1.197,4.408
07:45:01,7.346,1.209,4.348
07:44:56,7.370,1.232,4.360
07:44:51,7.358,1.220,4.337
07:44:47,7.311,1.209,4.384
07:44:41,7.346,1.220,4.360
07:44:36,7.346,1.209,4.396
07:44:31,7.358,1.209,4.372
07:44:26,7.358,1.220,4.254
07:44:21,7.370,1.197,4.372
07:44:16,7.358,1.185,4.455
07:44:11,7.358,1.161,4.538
07:44:06,7.358,1.137,4.574
07:44:01,7.382,1.149,4.657
07:43:57,7.358,1.137,4.633
07:43:51,7.334,1.114,4.633
07:43:46,7.346,1.114,4.657
07:43:41,7.358,1.114,4.645
07:43:36,7.382,1.114,4.799
07:43:31,7.370,1.114,4.704
07:43:26,7.334,1.126,4.633
07:43:21,7.346,1.126,4.633
07:43:16,7.370,1.126,4.692
07:43:11,7.370,1.137,4.574
07:43:06,7.370,1.137,4.597
07:43:01,7.334,1.149,4.574
07:42:56,7.346,1.161,4.550
07:42:51,7.358,1.161,4.550
07:42:46,7.358,1.185,4.585
07:42:41,7.358,1.161,4.455
07:42:36,7.346,1.161,4.503
07:42:31,7.358,1.173,4.443
07:42:26,7.358,1.173,4.514
07:42:21,7.382,1.149,4.585
07:42:16,7.322,1.137,4.360
07:42:11,7.346,1.126,4.704
07:42:06,7.358,1.126,4.716
07:42:01,7.370,1.126,4.657
07:41:56,7.370,1.126,4.562
07:41:51,7.346,1.126,4.716
07:41:46,7.334,1.137,4.668
07:41:41,7.358,1.126,4.657
07:41:36,7.346,1.114,4.668
07:41:31,7.346,1.126,4.455
07:41:26,7.358,1.126,4.728
07:41:21,7.334,1.114,4.728
07:41:16,7.358,1.114,4.668
07:41:11,7.299,1.114,4.479
07:41:07,7.382,1.114,4.668
07:41:01,7.346,1.090,4.751
07:40:56,7.334,1.090,4.822
07:40:51,7.334,1.078,4.668
07:40:46,7.275,1.102,4.455
07:40:41,7.382,1.126,4.692
07:40:36,7.358,1.126,4.668
07:40:32,7.370,1.114,4.680
07:40:26,7.334,1.126,4.420
07:40:21,7.358,1.126,4.680
07:40:16,7.382,1.149,4.657
07:40:11,7.382,1.149,4.621
07:40:06,7.299,1.161,4.538
07:40:01,7.322,1.185,4.491
07:39:56,7.358,1.197,4.479
07:39:51,7.382,1.173,4.514
07:39:46,7.346,1.149,4.526
07:39:41,7.370,1.161,4.562
07:39:36,7.358,1.149,4.574
07:39:31,7.382,1.149,4.550
07:39:26,7.370,1.161,4.538
07:39:21,7.370,1.185,4.574
07:39:16,7.382,1.185,4.526
07:39:11,7.346,1.185,4.526
07:39:06,7.382,1.185,4.467
07:39:01,7.382,1.173,4.479
07:38:56,7.370,1.197,4.455
07:38:51,7.346,1.173,4.443
07:38:46,7.334,1.197,4.420
07:38:41,7.311,1.220,4.266
07:38:36,7.358,1.220,4.313
07:38:31,7.370,1.209,4.360
07:38:26,7.370,1.209,4.384
07:38:21,7.358,1.209,4.313
07:38:16,7.358,1.220,4.111
07:38:11,7.370,1.232,4.360
07:38:06,7.382,1.232,4.337
07:38:01,7.358,1.232,4.325
07:37:56,7.334,1.185,4.325
07:37:51,7.358,1.185,4.135
07:37:46,7.370,1.161,4.538
07:37:41,7.382,1.173,4.467
07:37:36,7.334,1.173,4.396
07:37:31,7.346,1.185,4.230
07:37:26,7.382,1.197,4.396
07:37:22,7.382,1.209,4.431
07:37:16,7.382,1.197,4.384
07:37:11,7.322,1.173,4.396
07:37:06,7.346,1.185,4.420
07:37:01,7.358,1.173,4.455
07:36:56,7.358,1.149,4.455
07:36:52,7.358,1.161,4.538
07:36:46,7.358,1.149,4.562
07:36:41,7.346,1.126,4.645
07:36:36,7.358,1.102,4.680
07:36:31,7.346,1.114,4.621
07:36:26,7.370,1.126,4.254
07:36:21,7.370,1.137,4.550
07:36:16,7.322,1.149,4.562
07:36:11,7.370,1.161,4.503
07:36:06,7.346,1.149,4.550
07:36:01,7.370,1.149,4.526
07:35:56,7.358,1.161,4.538
07:35:51,7.334,1.173,4.503
07:35:46,7.346,1.185,4.467
07:35:42,7.382,1.185,4.479
07:35:36,7.382,1.185,4.467
07:35:31,7.370,1.185,4.467
07:35:26,7.382,1.197,4.443
07:35:21,7.358,1.209,4.396
07:35:16,7.382,1.209,4.420
07:35:11,7.382,1.197,4.431
07:35:06,7.382,1.149,4.491
07:35:01,7.370,1.161,4.526
07:34:56,7.334,1.161,4.503
07:34:51,7.370,1.185,4.467
07:34:46,7.358,1.197,4.384
07:34:41,7.358,1.209,4.384
07:34:36,7.334,1.197,4.372
07:34:31,7.311,1.209,4.147
07:34:26,7.358,1.220,4.254
07:34:21,7.382,1.209,4.431
07:34:16,7.382,1.197,4.408
07:34:11,7.334,1.209,4.301
07:34:06,7.346,1.220,4.171
07:34:01,7.358,1.244,4.313
07:33:56,7.382,1.268,4.254
07:33:51,7.394,1.244,4.289
07:33:47,7.358,1.232,4.206
07:33:41,7.358,1.268,3.993
07:33:36,7.370,1.268,4.111
07:33:31,7.358,1.268,4.135
07:33:26,7.358,1.280,4.088
07:33:21,7.346,1.280,4.111
07:33:16,7.358,1.280,3.886
07:33:11,7.358,1.280,4.088
07:33:06,7.370,1.268,4.123
07:33:01,7.370,1.292,4.017
07:32:56,7.322,1.303,3.969
07:32:51,7.358,1.315,4.005
07:32:46,7.370,1.303,3.981
07:32:41,7.382,1.303,4.005
07:32:36,7.358,1.303,3.969
07:32:31,7.370,1.280,4.005
07:32:26,7.346,1.303,3.993
07:32:21,7.358,1.292,4.005
07:32:16,7.346,1.303,3.886
07:32:11,7.346,1.292,3.863
07:32:06,7.334,1.315,3.910
07:32:01,7.358,1.303,3.886
07:31:56,7.370,1.327,3.886
07:31:51,7.311,1.327,3.685
07:31:46,7.382,1.303,3.969
07:31:41,7.346,1.292,4.029
07:31:36,7.322,1.220,4.313
07:31:31,7.334,1.161,4.408
07:31:26,7.370,1.185,4.443
07:31:21,7.358,1.185,4.467
07:31:16,7.334,1.185,4.420
07:31:11,7.346,1.197,4.396
07:31:07,7.370,1.209,4.360
07:31:01,7.370,1.232,4.325
07:30:56,7.394,1.232,4.325
07:30:51,7.370,1.209,4.325
07:30:46,7.382,1.173,4.443
07:30:41,7.382,1.185,4.431
07:30:36,7.382,1.173,4.479
07:30:31,7.382,1.209,4.396
07:30:26,7.358,1.197,4.372
07:30:21,7.346,1.209,4.313
07:30:16,7.346,1.197,4.313
07:30:11,7.358,1.220,4.337
07:30:06,7.370,1.232,4.313
07:30:01,7.346,1.209,4.337
07:29:56,7.322,1.197,4.384
07:29:51,7.382,1.209,4.396
07:29:46,7.370,1.209,4.408
07:29:41,7.370,1.197,4.384
07:29:36,7.346,1.197,4.348
07:29:31,7.287,1.197,4.171
07:29:26,7.358,1.209,4.360
07:29:21,7.358,1.232,4.360
07:29:16,7.370,1.220,4.301
07:29:11,7.358,1.220,4.301
07:29:06,7.346,1.197,4.313
07:29:01,7.334,1.209,4.313
07:28:56,7.358,1.244,4.254
07:28:51,7.358,1.244,4.254
07:28:46,7.382,1.244,3.981
07:28:41,7.358,1.244,4.266
07:28:36,7.358,1.244,4.254
07:28:31,7.346,1.256,4.183
07:28:26,7.358,1.256,4.218
07:28:21,7.346,1.256,4.230
07:28:16,7.382,1.232,4.301
07:28:11,7.334,1.197,4.348
07:28:06,7.370,1.209,4.348
07:28:01,7.382,1.209,4.348
07:27:56,7.346,1.197,4.325
07:27:51,7.346,1.244,4.171
07:27:46,7.322,1.256,4.064
07:27:41,7.358,1.280,4.135
07:27:36,7.370,1.268,4.135
07:27:31,7.346,1.256,4.171
07:27:26,7.299,1.256,4.040
07:27:21,7.358,1.244,4.242
07:27:16,7.346,1.256,4.218
07:27:11,7.370,1.220,4.242
07:27:06,7.322,1.220,4.266
07:27:01,7.358,1.197,4.384
07:26:56,7.358,1.209,4.372
07:26:51,7.334,1.197,4.289
07:26:46,7.382,1.220,4.254
07:26:41,7.334,1.232,4.230
07:26:36,7.334,1.244,4.242
07:26:31,7.358,1.220,4.242
07:26:26,7.358,1.197,4.301
07:26:21,7.334,1.197,4.325
07:26:16,7.346,1.197,4.348
07:26:11,7.382,1.185,4.384
07:26:06,7.358,1.209,4.360
07:26:01,7.358,1.197,4.360
07:25:56,7.334,1.173,4.443
07:25:51,7.382,1.173,4.503
07:25:46,7.382,1.173,4.479
07:25:41,7.370,1.185,4.420
07:25:36,7.322,1.197,4.384
07:25:31,7.346,1.197,4.348
07:25:26,7.370,1.197,4.443
07:25:21,7.370,1.209,4.337
07:25:16,7.346,1.232,4.254
07:25:11,7.358,1.220,4.242
07:25:06,7.382,1.232,4.301
07:25:01,7.370,1.232,4.289
07:24:56,7.370,1.256,4.206
07:24:51,7.311,1.256,4.147
07:24:46,7.346,1.268,4.171
07:24:41,7.382,1.256,4.206
07:24:36,7.370,1.244,4.183
07:24:31,7.370,1.232,4.147
07:24:26,7.358,1.220,4.301
07:24:21,7.370,1.220,4.301
07:24:16,7.346,1.220,4.289
07:24:11,7.370,1.220,4.254
07:24:06,7.382,1.232,3.969
07:24:01,7.370,1.244,4.266
07:23:56,7.382,1.256,4.218
07:23:51,7.346,1.256,4.242
07:23:46,7.346,1.256,4.206
07:23:41,7.382,1.256,4.171
07:23:36,7.370,1.256,4.171
07:23:31,7.346,1.256,4.171
07:23:26,7.358,1.268,4.040
07:23:21,7.322,1.268,3.815
07:23:16,7.382,1.268,4.171
07:23:11,7.370,1.268,4.171
07:23:06,7.346,1.244,4.135
07:23:01,7.334,1.268,4.147
07:22:56,7.358,1.268,4.194
07:22:51,7.370,1.256,4.171
07:22:46,7.346,1.244,4.147
07:22:41,7.358,1.280,4.147
07:22:36,7.358,1.280,4.147
07:22:31,7.370,1.280,4.135
07:22:26,7.394,1.280,4.100
07:22:21,7.358,1.280,4.088
07:22:16,7.358,1.256,4.088
07:22:11,7.394,1.280,4.100
07:22:07,7.382,1.268,4.100
07:22:01,7.370,1.268,4.123
07:21:56,7.358,1.280,4.111
07:21:51,7.334,1.256,4.064
07:21:46,7.358,1.280,4.088
07:21:41,7.358,1.268,4.135
07:21:36,7.322,1.268,4.005
07:21:31,7.370,1.268,4.123
07:21:26,7.358,1.280,4.135
07:21:21,7.334,1.280,4.147
07:21:16,7.322,1.256,3.922
07:21:11,7.382,1.244,4.230
07:21:06,7.358,1.256,4.159
07:21:02,7.346,1.268,4.076
07:20:56,7.346,1.292,3.839
07:20:51,7.346,1.292,4.040
07:20:46,7.382,1.280,4.017
07:20:41,7.334,1.303,3.981
07:20:36,7.346,1.292,3.969
07:20:31,7.299,1.292,4.040
07:20:26,7.382,1.292,4.005
07:20:21,7.334,1.292,4.064
07:20:16,7.346,1.292,3.981
07:20:11,7.311,1.292,3.981
07:20:06,7.370,1.303,4.005
07:20:01,7.358,1.292,3.981
07:19:56,7.358,1.303,4.029
07:19:51,7.358,1.303,3.898
07:19:47,7.334,1.280,4.017
07:19:41,7.346,1.256,4.111
07:19:36,7.346,1.232,4.218
07:19:31,7.370,1.220,4.266
07:19:26,7.322,1.209,3.993
07:19:21,7.358,1.220,4.313
07:19:16,7.370,1.220,4.266
07:19:11,7.488,1.220,4.277
07:19:06,7.370,1.220,4.277
07:19:01,7.358,1.209,4.266
07:18:56,7.358,1.232,4.266
07:18:51,7.358,1.232,4.242
07:18:46,7.370,1.220,4.206
07:18:41,7.382,1.209,4.254
07:18:36,7.358,1.220,4.277
07:18:31,7.358,1.220,4.301
07:18:26,7.346,1.209,4.277
07:18:21,7.322,1.209,4.147
07:18:16,7.370,1.220,4.348
07:18:11,7.382,1.220,4.301
07:18:06,7.346,1.220,4.301
07:18:01,7.334,1.220,4.277
07:17:56,7.334,1.244,4.266
07:17:51,7.370,1.244,4.218
07:17:46,7.370,1.244,4.266
07:17:41,7.358,1.232,4.242
07:17:36,7.334,1.232,4.230
07:17:32,7.370,1.220,4.266
07:17:26,7.358,1.256,4.230
07:17:21,7.382,1.268,4.171
07:17:16,7.334,1.244,4.230
07:17:11,7.370,1.220,4.266
07:17:06,7.358,1.232,4.254
07:17:01,7.358,1.232,4.301
07:16:56,7.370,1.232,4.254
07:16:51,7.299,1.232,3.969
07:16:46,7.370,1.220,4.254
07:16:41,7.358,1.232,4.254
07:16:36,7.382,1.232,4.230
07:16:31,7.370,1.232,4.242
07:16:26,7.358,1.209,4.254
07:16:21,7.346,1.232,4.301
07:16:16,7.370,1.220,4.325
07:16:11,7.370,1.220,4.254
07:16:06,7.358,1.232,4.017
07:16:01,7.358,1.220,4.277
07:15:56,7.358,1.220,4.289
07:15:51,7.358,1.232,4.277
07:15:46,7.322,1.220,4.171
07:15:41,7.382,1.232,4.254
07:15:36,7.382,1.232,4.313
07:15:31,7.370,1.232,4.277
07:15:26,7.346,1.197,4.218
07:15:21,7.358,1.209,4.289
07:15:16,7.346,1.209,4.348
07:15:11,7.370,1.197,4.301
07:15:06,7.358,1.220,4.313
07:15:01,7.346,1.220,4.301
07:14:56,7.358,1.209,4.360
07:14:51,7.358,1.209,4.337
07:14:46,7.334,1.173,4.301
07:14:41,7.358,1.209,4.289
07:14:36,7.370,1.173,4.076
07:14:31,7.382,1.280,4.384
07:14:26,7.358,1.209,4.360
07:14:21,7.370,1.197,4.325
07:14:16,7.346,1.197,4.372
07:14:12,7.358,1.185,4.396
07:14:06,7.382,1.149,4.479
07:14:01,7.382,1.161,4.491
07:13:56,7.299,1.173,4.384
07:13:51,7.346,1.173,4.408
07:13:46,7.358,1.173,4.360
07:13:42,7.382,1.220,4.301
07:13:36,7.370,1.232,4.301
07:13:31,7.299,1.232,4.254
07:13:26,7.358,1.232,4.218
07:13:21,7.382,1.220,4.254
07:13:16,7.370,1.220,4.218
07:13:11,7.311,1.244,4.052
07:13:06,7.346,1.244,4.194
07:13:01,7.358,1.244,4.159
07:12:56,7.358,1.256,4.111
07:12:51,7.358,1.256,4.194
07:12:46,7.382,1.256,4.171
07:12:41,7.382,1.256,4.159
07:12:36,7.346,1.256,4.159
07:12:31,7.358,1.220,4.147
07:12:26,7.382,1.256,4.029
07:12:21,7.370,1.244,4.194
07:12:16,7.382,1.244,4.171
07:12:11,7.358,1.232,4.183
07:12:06,7.382,1.244,4.194
07:12:01,7.370,1.232,4.171
07:11:56,7.334,1.232,4.218
07:11:51,7.346,1.232,4.194
07:11:46,7.358,1.220,4.242
07:11:41,7.370,1.232,4.277
07:11:36,7.382,1.232,4.242
07:11:31,7.382,1.244,4.194
07:11:27,7.346,1.244,4.147
07:11:21,7.346,1.256,4.147
07:11:16,7.358,1.244,4.147
07:11:11,7.382,1.256,4.171
07:11:06,7.346,1.244,4.111
07:11:01,7.322,1.244,3.981
07:10:56,7.334,1.220,4.218
07:10:51,7.346,1.220,4.289
07:10:46,7.358,1.220,4.254
07:10:41,7.334,1.220,4.100
07:10:36,7.370,1.220,4.301
07:10:31,7.358,1.220,4.230
07:10:26,7.370,1.232,4.183
07:10:21,7.394,1.220,4.111
07:10:16,7.322,1.244,4.100
07:10:11,7.382,1.256,4.171
07:10:06,7.370,1.256,4.123
07:10:01,7.346,1.256,4.147
07:09:56,7.334,1.232,3.875
07:09:51,7.394,1.244,4.159
07:09:47,7.382,1.244,4.230
07:09:41,7.358,1.232,4.254
07:09:36,7.322,1.197,4.277
07:09:31,7.358,1.209,4.360
07:09:26,7.382,1.209,4.348
07:09:21,7.370,1.197,4.325
07:09:16,7.358,1.232,4.194
07:09:11,7.358,1.232,4.266
07:09:06,7.394,1.220,4.242
07:09:01,7.370,1.256,4.218
07:08:56,7.370,1.256,4.159
07:08:51,7.346,1.256,3.934
07:08:46,7.358,1.244,4.135
07:08:41,7.382,1.280,4.171
07:08:36,7.394,1.256,4.206
07:08:31,7.358,1.220,4.147
07:08:26,7.358,1.209,4.254
07:08:21,7.370,1.197,4.289
07:08:16,7.382,1.220,4.289
07:08:11,7.358,1.220,4.242
07:08:06,7.334,1.209,4.230
07:08:01,7.334,1.232,4.171
07:07:56,7.370,1.244,4.183
07:07:51,7.382,1.256,4.123
07:07:46,7.382,1.256,4.183
07:07:41,7.370,1.256,4.111
07:07:36,7.358,1.268,4.147
07:07:31,7.346,1.280,4.123
07:07:26,7.370,1.244,4.100
07:07:21,7.287,1.268,3.981
07:07:16,7.358,1.256,4.100
07:07:11,7.358,1.244,4.159
07:07:07,7.334,1.232,4.183
07:07:01,7.382,1.220,4.218
07:06:56,7.370,1.197,4.254
07:06:51,7.382,1.209,4.289
07:06:46,7.275,1.197,4.337
07:06:41,7.358,1.197,4.289
07:06:36,7.370,1.209,4.313
07:06:31,7.382,1.197,4.348
07:06:26,7.334,1.185,4.337
07:06:21,7.358,1.185,4.396
07:06:16,7.382,1.173,4.396
07:06:11,7.346,1.173,4.408
07:06:06,7.358,1.149,4.325
07:06:01,7.370,1.149,4.408
07:05:56,7.358,1.149,4.467
07:05:51,7.358,1.137,4.455
07:05:46,7.382,1.149,4.491
07:05:41,7.370,1.161,4.479
07:05:36,7.394,1.149,4.467
07:05:31,7.370,1.149,4.443
07:05:26,7.370,1.149,4.491
07:05:21,7.358,1.126,4.574
07:05:16,7.370,1.114,4.609
07:05:12,7.394,1.114,4.609
07:05:06,7.370,1.126,4.609
07:05:01,7.370,1.114,4.562
07:04:56,7.358,1.102,4.645
07:04:51,7.382,1.090,4.692
07:04:46,7.394,1.078,4.728
07:04:41,7.382,1.066,4.716
07:04:36,7.346,1.055,4.787
07:04:31,7.394,1.078,4.751
07:04:26,7.370,1.090,4.751
07:04:21,7.382,1.078,4.858
07:04:16,7.382,1.066,4.763
07:04:11,7.334,1.078,4.716
07:04:06,7.394,1.090,4.751
07:04:01,7.382,1.055,4.704
07:03:56,7.382,1.090,4.645
07:03:51,7.394,1.126,4.289
07:03:46,7.358,1.137,4.514
07:03:41,7.394,1.161,4.467
07:03:36,7.358,1.173,4.384
07:03:31,7.334,1.173,4.266
07:03:26,7.346,1.161,4.029
07:03:21,7.358,1.161,4.455
07:03:16,7.370,1.161,4.479
07:03:11,7.358,1.161,4.431
07:03:06,7.322,1.137,4.206
07:03:01,7.370,1.137,4.538
07:02:56,7.358,1.126,4.621
07:02:52,7.358,1.126,4.538
07:02:47,7.334,1.137,4.538
07:02:41,7.370,1.137,4.538
07:02:36,7.346,1.137,4.491
07:02:31,7.370,1.161,4.467
07:02:26,7.370,1.149,4.372
07:02:21,7.382,1.149,4.526
07:02:16,7.382,1.149,4.514
07:02:11,7.382,1.149,4.538
07:02:06,7.322,1.149,4.396
07:02:01,7.370,1.137,4.526
07:01:56,7.405,1.161,4.503
07:01:51,7.382,1.161,4.526
07:01:46,7.346,1.137,4.562
07:01:41,7.370,1.126,4.609
07:01:36,7.370,1.102,4.585
07:01:31,7.382,1.137,4.562
07:01:26,7.358,1.137,4.585
07:01:21,7.394,1.114,4.574
07:01:16,7.382,1.114,4.645
07:01:11,7.334,1.102,4.538
07:01:06,7.382,1.090,4.728
