updated,,,A2,A3,A4,A5
04:44:32,1.994,0.000,3.055,2.893,0.371,2.331
04:43:33,2.043,0.000,3.050,2.908,0.376,2.331
04:42:33,2.107,0.000,3.040,2.898,0.381,2.351
04:41:33,2.131,0.000,3.040,2.884,0.367,2.370
04:40:33,2.097,0.000,3.055,2.908,0.376,2.317
04:39:33,2.048,0.000,3.040,2.898,0.381,2.317
04:38:33,1.984,0.000,3.050,2.898,0.381,2.287
04:37:32,2.033,0.000,3.055,2.903,0.381,2.297
04:36:33,2.033,0.000,3.045,2.898,0.362,2.346
04:35:32,1.989,0.000,3.050,2.874,0.376,2.312
04:34:32,2.063,0.000,3.050,2.898,0.376,2.395
04:33:33,2.121,0.000,3.050,2.898,0.367,2.375
04:32:33,2.014,0.000,3.050,2.893,0.381,2.326
04:31:33,1.911,0.000,3.050,2.889,0.381,2.209
04:30:33,2.033,0.000,3.030,2.889,0.381,2.322
04:29:33,1.965,0.000,3.055,2.893,0.381,2.317
04:28:32,1.931,0.000,3.055,2.889,0.376,2.341
04:27:33,2.058,0.000,3.045,2.898,0.376,2.346
04:26:33,2.102,0.000,3.055,2.893,0.367,2.351
04:25:33,2.053,0.000,3.040,2.889,0.381,2.366
04:24:32,2.072,0.000,3.045,2.908,0.381,2.356
04:23:33,2.014,0.000,3.050,2.889,0.367,2.331
04:22:33,1.984,0.000,3.045,2.893,0.381,2.341
04:21:32,2.004,0.000,3.055,2.884,0.381,2.346
04:20:33,1.989,0.000,3.050,2.898,0.381,2.326
04:19:33,2.023,0.000,3.030,2.889,0.362,2.287
04:18:32,2.102,0.000,3.040,2.874,0.381,2.351
04:17:33,1.994,0.000,3.045,2.898,0.381,2.351
04:16:32,1.950,0.000,3.050,2.893,0.376,2.268
04:15:33,2.028,0.000,3.040,2.903,0.371,2.370
04:14:33,2.023,0.000,3.055,2.898,0.371,2.380
04:13:33,2.023,0.000,3.045,2.879,0.367,2.278
04:12:33,2.038,0.000,3.040,2.903,0.367,2.346
04:11:33,2.019,0.000,3.045,2.864,0.362,2.170
04:10:33,2.038,0.000,3.050,2.898,0.367,2.336
04:09:32,2.063,0.000,3.040,2.898,0.367,2.346
04:08:32,1.979,0.000,3.050,2.874,0.362,2.292
04:07:33,2.077,0.000,3.050,2.898,0.367,2.375
04:06:33,2.038,0.000,3.055,2.893,0.376,2.414
04:05:32,1.994,0.000,3.040,2.889,0.376,2.351
04:04:33,2.038,0.000,3.040,2.908,0.371,2.356
04:03:33,2.077,0.000,3.055,2.859,0.367,2.175
04:02:33,1.999,0.000,3.035,2.893,0.376,2.356
04:01:33,2.038,0.000,3.040,2.898,0.376,2.351
04:00:33,2.102,0.000,3.045,2.879,0.367,2.297
03:59:33,2.160,0.000,3.050,2.903,0.362,2.424
03:58:33,2.102,0.000,3.060,2.903,0.367,2.410
03:57:33,2.023,0.000,3.040,2.893,0.376,2.283
03:56:33,2.082,0.000,3.055,2.898,0.371,2.385
03:55:33,1.901,0.000,3.040,2.864,0.371,2.341
03:54:32,2.087,0.000,3.035,2.884,0.371,2.405
03:53:33,2.087,0.000,3.055,2.898,0.367,2.395
03:52:33,1.955,0.000,3.040,2.898,0.371,2.229
03:51:32,2.072,0.000,3.040,2.889,0.362,2.380
03:50:33,2.092,0.000,3.050,2.893,0.357,2.410
03:49:32,2.077,0.000,3.045,2.869,0.357,2.356
03:48:32,2.023,0.000,3.050,2.903,0.362,2.370
03:47:33,2.043,0.000,3.055,2.898,0.371,2.361
03:46:32,1.945,0.000,3.045,2.898,0.367,2.385
03:45:32,2.028,0.000,3.050,2.884,0.371,2.414
03:44:33,2.141,0.000,3.035,2.893,0.371,2.375
03:43:33,1.887,0.000,3.045,2.879,0.371,2.361
03:42:32,1.984,0.000,3.045,2.893,0.371,2.331
03:41:32,2.019,0.000,3.040,2.889,0.367,2.380
03:40:33,2.004,0.000,3.055,2.869,0.352,2.292
03:39:32,2.009,0.000,3.050,2.893,0.362,2.375
03:38:32,2.048,0.000,3.040,2.893,0.362,2.380
03:37:33,2.028,0.000,3.050,2.884,0.371,2.307
03:36:33,2.077,0.000,3.040,2.893,0.352,2.434
03:35:32,2.043,0.000,3.035,2.884,0.352,2.439
03:34:33,2.072,0.000,3.035,2.889,0.347,2.405
03:33:33,2.116,0.000,3.045,2.884,0.362,2.395
03:32:32,2.195,0.000,3.040,2.893,0.357,2.429
03:31:33,2.072,0.000,3.050,2.903,0.357,2.195
03:30:33,2.043,0.000,3.055,2.889,0.347,2.454
03:29:33,2.190,0.000,3.040,2.898,0.357,2.414
03:28:33,2.009,0.000,3.050,2.869,0.357,2.204
03:27:33,2.019,0.000,3.030,2.879,0.352,2.429
03:26:33,2.028,0.000,3.055,2.913,0.357,2.419
03:25:33,2.053,0.000,3.055,2.864,0.347,2.439
03:24:33,2.126,0.000,3.050,2.884,0.347,2.454
03:23:33,2.058,0.000,3.050,2.889,0.352,2.380
03:22:33,2.131,0.000,3.035,2.884,0.347,2.405
03:21:33,2.111,0.000,3.060,2.874,0.352,2.380
03:20:32,2.077,0.000,3.045,2.893,0.342,2.454
03:19:32,2.199,0.000,3.045,2.879,0.347,2.444
03:18:33,2.092,0.000,3.060,2.879,0.342,2.292
03:17:32,2.175,0.000,3.050,2.889,0.352,2.449
03:16:32,2.126,0.000,3.035,2.884,0.342,2.498
03:15:32,2.195,0.000,3.055,2.889,0.342,2.473
03:14:33,2.131,0.000,3.050,2.884,0.337,2.419
03:13:33,2.053,0.000,3.065,2.869,0.347,2.414
03:12:33,2.121,0.000,3.050,2.889,0.347,2.424
03:11:32,2.180,0.000,3.045,2.884,0.327,2.483
03:10:33,2.058,0.000,3.050,2.893,0.337,2.331
03:09:33,1.999,0.000,3.060,2.879,0.352,2.390
03:08:32,2.107,0.000,3.040,2.893,0.332,2.458
03:07:32,2.224,0.000,3.045,2.893,0.342,2.488
03:06:32,2.053,0.000,3.050,2.893,0.342,2.356
03:05:32,2.082,0.000,3.040,2.884,0.352,2.434
03:04:32,2.097,0.000,3.040,2.889,0.337,2.512
03:03:33,2.111,0.000,3.045,2.864,0.327,2.473
03:02:33,2.155,0.000,3.040,2.879,0.342,2.493
03:01:32,2.160,0.000,3.060,2.884,0.337,2.478
03:00:32,2.009,0.000,3.035,2.879,0.347,2.380
02:59:33,2.136,0.000,3.045,2.889,0.352,2.454
02:58:32,2.126,0.000,3.055,2.884,0.327,2.488
02:57:32,2.224,0.000,3.050,2.884,0.327,2.326
02:56:32,2.151,0.000,3.050,2.889,0.337,2.512
02:55:32,2.180,0.000,3.045,2.898,0.332,2.502
02:54:33,2.136,0.000,3.040,2.869,0.327,2.502
02:53:33,2.278,0.000,3.040,2.898,0.332,2.502
02:52:32,2.155,0.000,3.045,2.879,0.337,2.439
02:51:32,2.258,0.000,3.055,2.898,0.337,2.502
02:50:33,2.141,0.000,3.045,2.889,0.332,2.507
02:49:33,2.302,0.000,3.050,2.889,0.318,2.522
02:48:32,2.248,0.000,3.055,2.869,0.323,2.532
02:47:33,2.146,0.000,3.030,2.889,0.332,2.478
02:46:32,2.170,0.000,3.035,2.859,0.323,2.454
02:45:33,2.102,0.000,3.055,2.884,0.323,2.502
02:44:33,2.146,0.000,3.050,2.889,0.318,2.532
02:43:33,2.141,0.000,3.045,2.889,0.308,2.429
02:42:33,2.219,0.000,3.094,2.893,0.323,2.527
02:41:32,2.107,0.000,3.050,2.854,0.313,2.522
02:40:32,2.287,0.000,3.050,2.889,0.303,2.522
02:39:32,2.297,0.000,3.050,2.889,0.313,2.561
02:38:32,2.151,0.000,3.060,2.869,0.308,2.532
02:37:32,2.307,0.000,3.050,2.893,0.298,2.590
02:36:32,2.072,0.000,3.050,2.893,0.293,2.595
02:35:33,2.175,0.000,3.040,2.879,0.298,2.561
02:34:32,2.229,0.000,3.040,2.889,0.303,2.546
02:33:33,2.190,0.000,3.050,2.874,0.313,2.517
02:32:32,2.072,0.000,3.050,2.884,0.303,2.419
02:31:33,2.204,0.000,3.045,2.884,0.298,2.561
02:30:32,2.214,0.000,3.040,2.889,0.298,2.532
02:29:33,2.116,0.000,3.055,2.859,0.303,2.493
02:28:33,2.126,0.000,3.040,2.884,0.298,2.546
02:27:33,2.219,0.000,3.045,2.874,0.293,2.566
02:26:32,2.190,0.000,3.060,2.869,0.293,2.586
02:25:33,2.229,0.000,3.050,2.893,0.288,2.600
02:24:32,2.248,0.000,3.035,2.884,0.293,2.610
02:23:32,2.326,0.000,3.050,2.884,0.303,2.586
02:22:32,2.190,0.000,3.040,2.889,0.288,2.595
02:21:33,2.185,0.000,3.050,2.889,0.288,2.600
02:20:33,2.165,0.000,3.050,2.879,0.293,2.566
02:19:32,2.307,0.000,3.050,2.879,0.288,2.590
02:18:32,2.146,0.000,3.055,2.849,0.288,2.605
02:17:33,2.331,0.000,3.045,2.889,0.288,2.595
02:16:32,2.292,0.000,3.035,2.879,0.293,2.595
02:15:32,2.229,0.000,3.050,2.889,0.298,2.463
02:14:32,2.234,0.000,3.045,2.889,0.288,2.581
02:13:32,2.209,0.000,3.045,2.879,0.288,2.595
02:12:33,2.224,0.000,3.045,2.879,0.283,2.620
02:11:33,2.160,0.000,3.060,2.874,0.279,2.586
02:10:33,2.146,0.000,3.035,2.879,0.288,2.566
02:09:32,2.312,0.000,3.045,2.879,0.279,2.576
02:08:33,2.395,0.000,3.055,2.884,0.279,2.664
02:07:32,2.258,0.000,3.040,2.874,0.274,2.326
02:06:33,2.219,0.000,3.050,2.884,0.279,2.576
02:05:33,2.214,0.000,3.050,2.884,0.288,2.586
02:04:32,2.180,0.000,3.055,2.864,0.283,2.595
02:03:32,2.278,0.000,3.055,2.884,0.283,2.620
02:02:32,2.209,0.000,3.050,2.879,0.283,2.600
02:01:32,2.263,0.000,3.050,2.874,0.283,2.615
02:00:33,2.322,0.000,3.055,2.884,0.283,2.595
01:59:33,2.283,0.000,3.050,2.874,0.279,2.512
01:58:32,2.292,0.000,3.050,2.884,0.283,2.644
01:57:32,2.185,0.000,3.050,2.884,0.283,2.586
01:56:33,2.204,0.000,3.045,2.869,0.279,2.556
01:55:32,2.346,0.000,3.045,2.889,0.283,2.581
01:54:33,2.283,0.000,3.050,2.884,0.279,2.634
01:53:32,2.239,0.000,3.045,2.879,0.279,2.639
01:52:32,2.234,0.000,3.045,2.889,0.269,2.561
01:51:33,2.302,0.000,3.045,2.874,0.269,2.610
01:50:33,2.243,0.000,3.040,2.879,0.269,2.581
01:49:33,2.317,0.000,3.050,2.884,0.274,2.610
01:48:32,2.204,0.000,3.045,2.874,0.269,2.600
01:47:33,2.283,0.000,3.050,2.889,0.269,2.620
01:46:33,2.278,0.000,3.045,2.884,0.274,2.639
01:45:32,2.224,0.000,3.050,2.884,0.259,2.620
01:44:32,2.092,0.000,3.065,2.879,0.283,2.620
01:43:32,2.326,0.000,3.050,2.869,0.269,2.639
01:42:32,2.141,0.000,3.055,2.869,0.279,2.473
01:41:32,2.165,0.000,3.050,2.859,0.274,2.576
01:40:33,2.185,0.000,3.055,2.879,0.269,2.414
01:39:32,2.195,0.000,3.045,2.874,0.274,2.630
01:38:32,2.229,0.000,3.045,2.879,0.269,2.527
01:37:32,2.151,0.000,3.060,2.879,0.274,2.615
01:36:33,2.214,0.000,3.055,2.879,0.274,2.581
01:35:32,2.224,0.000,3.055,2.874,0.269,2.644
01:34:32,2.263,0.000,3.045,2.864,0.274,2.439
01:33:33,2.283,0.000,3.050,2.879,0.269,2.630
01:32:33,2.170,0.000,3.055,2.874,0.269,2.605
01:31:32,2.146,0.000,3.045,2.854,0.274,2.625
01:30:33,2.283,0.000,3.060,2.874,0.274,2.615
01:29:32,2.273,0.000,3.045,2.874,0.264,2.600
01:28:33,2.346,0.000,3.050,2.879,0.274,2.664
01:27:32,2.214,0.000,3.045,2.864,0.269,2.414
01:26:33,2.258,0.000,3.050,2.864,0.259,2.581
01:25:33,2.175,0.000,3.040,2.879,0.269,2.542
01:24:32,2.160,0.000,3.099,2.864,0.259,2.537
01:23:32,2.131,0.000,3.045,2.874,0.274,2.595
01:22:33,2.204,0.000,3.045,2.874,0.269,2.610
01:21:32,2.214,0.000,3.060,2.869,0.264,2.595
01:20:33,2.175,0.000,3.045,2.879,0.269,2.644
01:19:32,2.361,0.000,3.045,2.889,0.269,2.649
01:18:33,2.248,0.000,3.055,2.879,0.269,2.615
01:17:32,2.214,0.000,3.060,2.864,0.269,2.605
01:16:33,2.287,0.000,3.050,2.884,0.259,2.634
01:15:33,2.248,0.000,3.040,2.889,0.279,2.600
01:14:32,2.356,0.000,3.045,2.874,0.269,2.586
01:13:32,2.273,0.000,3.050,2.874,0.274,2.551
01:12:32,2.209,0.000,3.050,2.879,0.269,2.605
01:11:33,2.229,0.000,3.040,2.884,0.274,2.644
01:10:32,2.229,0.000,3.050,2.874,0.269,2.605
01:09:33,2.356,0.000,3.035,2.869,0.269,2.590
01:08:32,2.092,0.000,3.050,2.859,0.274,2.444
01:07:32,2.170,0.000,3.055,2.869,0.259,2.581
01:06:33,2.317,0.000,3.045,2.879,0.269,2.581
01:05:33,2.141,0.000,3.050,2.889,0.274,2.414
01:04:32,2.292,0.000,3.040,2.869,0.269,2.605
01:03:32,2.312,0.000,3.055,2.874,0.269,2.566
01:02:32,2.185,0.000,3.055,2.879,0.269,2.581
01:01:33,2.170,0.000,3.045,2.879,0.274,2.551
01:00:33,2.180,0.000,3.045,2.840,0.269,2.341
00:59:33,2.160,0.000,3.055,2.869,0.279,2.600
